out:L01S,out:L02S,out:L03S,out:L04S,out:L05S,out:L06S,out:L07S,out:L08S,out:L09S,out:L10S,out:L11S,out:L12S,out:L13S,out:L14S,out:L01R,out:L02R,out:L03R,out:L04R,out:L05R,out:L06R,out:L07R,out:L08R,out:L09R,out:L10R,out:L11R,out:L12R,out:L13R,out:L14R,out:LSR,out:r01,out:r02,out:r03,out:r04,out:r05,out:r06,out:r07,out:r08,out:r09,out:r10,out:r11,out:r12,out:r13,out:r14,out:P01x,out:P02x,out:P03x,out:P04x,out:P05x,out:P06x,out:P07x,out:P08x,out:P09x,out:P10x,out:P11x,out:P12x,out:P13x,out:P14x,out:P01y,out:P02y,out:P03y,out:P04y,out:P05y,out:P06y,out:P07y,out:P08y,out:P09y,out:P10y,out:P11y,out:P12y,out:P13y,out:P14y,out:P01z,out:P02z,out:P03z,out:P04z,out:P05z,out:P06z,out:P07z,out:P08z,out:P09z,out:P10z,out:P11z,out:P12z,out:P13z,out:P14z,out:Sx,out:Sy,out:Rx,out:Ry
2.95,5.75,1.25,0.75,1.4,0.75,2.424871,2.598076,2.165064,2.165064,1.299038,1.299038,1.299038,1.299038,4.001562,6.342121,0.687386,1.105667,2.118962,1.171537,3.551056,3.385262,2.41816,1.961505,2.10891,1.802082,1.203121,0.497494,1.187434,170.792198,170.222518,111.327384,103.06803,148.154344,107.382704,172.644812,162.759626,150.628668,147.021038,149.583357,138.841513,123.494624,113.965168,0.75,6.5,0.75,0,0.75,0.75,2.15,2.25,2,2,0,0,0,0,4.2,1.25,0,1.25,1.25,1.25,2.65,2.75,0,0,2,2,0.5,0.5,1.5,1.5,1.5,1.5,2.9,0.75,2.9,0,2.75,0.25,2.25,0.75,2.25,0.75,0.75,1.25,0.25,0.25
2.45,5.75,1.75,0.75,1.4,0.75,2.424871,1.399999,2.424871,1.399999,1.299038,1.299038,1.299038,1.299038,4.001562,6.439915,0.687386,1.572419,2.39583,1.619413,3.906405,2.684497,2.61916,1.535183,2.539193,2.290742,1.395529,0.864581,1.630951,170.792198,166.050782,111.327384,99.148321,138.70359,102.481691,167.278586,149.95379,142.519463,112.670556,146.090586,135.914595,105.599675,84.251208,0.75,6.5,0.75,0,0.75,0.75,2.15,1.55829,2.15,1.55829,0,0,0,0,4.2,1.75,0,1.75,1.75,1.75,3.15,2.55829,0.35,0.94171,2.5,2.5,1,1,1.5,1.5,1.5,1.5,2.9,0.75,2.9,0.69171,2.9,0.69171,2.25,0.75,2.25,0.75,0.75,1.75,0.25,0.25
1.95,5.75,2.25,0.75,1.4,0.75,2.424871,2.598076,2.424871,2.598076,1.299038,1.299038,1.299038,1.299038,4.001562,6.574382,0.687386,2.054872,2.736786,2.091052,4.290688,4.178516,2.685144,2.336664,2.991237,2.783433,1.716828,1.32193,2.1,170.792198,161.926567,111.327384,96.988035,131.125129,99.635512,162.817435,155.773349,131.80143,129.972217,143.226425,134.016837,92.891417,73.507723,0.75,6.5,0.75,0,0.75,0.75,2.15,2.25,2.15,2.25,0,0,0,0,4.2,2.25,0,2.25,2.25,2.25,3.65,3.75,0.85,0.75,3,3,1.5,1.5,1.5,1.5,1.5,1.5,2.9,0.75,2.9,0,2.9,0,2.25,0.75,2.25,0.75,0.75,2.25,0.25,0.25
1.45,5.75,2.75,0.75,1.4,0.75,2.511474,2.511474,2.424871,2.598076,1.299038,1.299038,1.299038,1.299038,4.001562,6.74333,0.687386,2.544111,3.120897,2.573422,4.777813,4.528521,2.839014,2.491987,3.456516,3.278338,2.10891,1.802082,2.580698,170.792198,157.947739,111.327384,95.639337,125.222783,97.816778,159.473298,152.38343,121.92061,119.113001,140.959497,132.689583,84.501568,68.380776,0.75,6.5,0.75,0,0.75,0.75,2.2,2.2,2.15,2.25,0,0,0,0,4.2,2.75,0,2.75,2.75,2.75,4.2,4.2,1.35,1.25,3.5,3.5,2,2,1.5,1.5,1.5,1.5,2.9,0.75,2.95,0.05,2.9,0,2.25,0.75,2.25,0.75,0.75,2.75,0.25,0.25
0.95,5.75,3.25,0.75,1.4,0.75,1.645448,1.645448,2.424871,1.399999,1.299038,1.299038,1.299038,1.299038,4.001562,6.944242,0.687386,3.036857,3.534119,3.061454,4.418993,4.243524,3.067572,2.58494,3.930331,3.774586,2.539193,2.290742,3.067572,170.792198,154.161513,111.327384,94.722044,120.618589,96.56468,151.872534,144.049432,113.281111,83.90823,139.157917,131.710256,78.856368,65.426517,0.75,6.5,0.75,0,0.75,0.75,1.7,1.7,2.15,1.55829,0,0,0,0,4.2,3.25,0,3.25,3.25,3.25,4.2,4.2,1.85,2.44171,4,4,2.5,2.5,1.5,1.5,1.5,1.5,2.9,0.75,2.45,0.55,2.9,0.69171,2.25,0.75,2.25,0.75,0.75,3.25,0.25,0.25
0.45,5.75,3.75,0.75,1.4,1.5,0.779423,0.779423,2.424871,2.598076,0.779423,0.779423,1.299038,1.299038,4.001562,7.174434,0.687386,3.531643,3.967367,3.702702,4.150602,4.062942,3.355592,3.034798,4.04073,3.950633,2.991237,2.783433,3.558089,170.792198,150.592423,111.327384,94.059282,116.981413,107.282328,143.11359,134.70063,105.979287,102.079442,132.741565,125.2579,74.896189,63.51515,0.75,6.5,0.75,0,0.75,0.75,1.2,1.2,2.15,2.25,0.3,0.3,0,0,4.2,3.75,0,3.75,3.75,3.75,4.2,4.2,2.35,2.25,4.2,4.2,3,3,1.5,1.5,1.5,1.5,2.9,0,1.95,1.05,2.9,0,1.95,1.05,2.25,0.75,0.75,3.75,0.25,0.25
3.95,5.25,0.25,1.25,1.4,1.5,2.424871,2.598076,0.433013,0.433013,2.165064,2.165064,0.433013,0.433013,4.094203,6.262787,1.105667,0.471699,2.059126,1.486607,3.310589,3.116087,1.430909,1.28355,2.085066,1.532155,1.023474,0.804674,1.077033,164.748118,176.338064,103.06803,122.005383,150.945396,137.726311,167.583966,160.896802,150.168581,127.390209,150.718614,152.317105,94.853956,62.200922,1.25,6.5,1.25,0,1.25,1.25,2.65,2.75,1.5,1.5,0,0,1,1,4.2,0.25,0,0.25,0.25,0.25,1.65,1.75,0,0,1.5,1.5,0,0,1.5,1.5,1.5,1.5,2.9,0,2.9,0,1.75,1.25,2.75,0.25,1.75,1.25,1.25,0.25,0.25,0.25
3.45,5.25,0.75,1.25,1.4,1.05,2.424871,2.598076,1.299038,1.299038,2.165064,2.165064,1.299038,1.299038,4.094203,6.282714,1.105667,0.687386,2.118962,1.293252,3.551056,3.385262,2.10891,1.802082,2.41816,1.961505,1.203121,0.497494,1.187434,164.748118,174.150457,103.06803,111.327384,148.154344,120.172763,172.644812,162.759626,149.583357,138.841513,150.628668,147.021038,123.494624,113.965168,1.25,6.5,1.25,0,1.25,1.25,2.65,2.75,2,2,0,0,0.5,0.5,4.2,0.75,0,0.75,0.75,0.75,2.15,2.25,0,0,2,2,0,0,1.5,1.5,1.5,1.5,2.9,0.45,2.9,0,2.25,0.75,2.75,0.25,2.25,0.75,1.25,0.75,0.25,0.25
2.95,5.25,1.25,1.25,1.4,1.5,2.424871,2.598076,2.165064,2.165064,2.165064,2.165064,2.165064,2.165064,4.094203,6.342121,1.105667,1.105667,2.289105,1.791647,3.841875,3.702702,2.801339,2.41816,2.801339,2.41816,1.687454,0.920598,1.469694,164.748118,170.222518,103.06803,103.06803,141.844193,127.8764,172.673963,162.017938,148.79362,143.114113,148.79362,143.114113,137.358548,147.849022,1.25,6.5,1.25,0,1.25,1.25,2.65,2.75,2.5,2.5,0,0,0,0,4.2,1.25,0,1.25,1.25,1.25,2.65,2.75,0,0,2.5,2.5,0,0,1.5,1.5,1.5,1.5,2.9,0,2.9,0,2.75,0.25,2.75,0.25,2.75,0.25,1.25,1.25,0.25,0.25
2.45,5.25,1.75,1.25,1.4,1.05,2.424871,2.598076,2.424871,2.598076,2.165064,2.165064,2.165064,2.165064,4.094203,6.439915,1.105667,1.572419,2.547548,1.916377,4.172529,4.057093,3.001666,2.7313,3.216753,2.889204,1.687454,0.920598,1.846619,164.748118,166.050782,103.06803,99.148321,134.955858,109.827029,169.241458,159.921358,142.055558,139.550548,146.573456,140.295226,124.370059,122.213467,1.25,6.5,1.25,0,1.25,1.25,2.65,2.75,2.65,2.75,0,0,0,0,4.2,1.75,0,1.75,1.75,1.75,3.15,3.25,0.35,0.25,3,3,0.5,0.5,1.5,1.5,1.5,1.5,2.9,0.45,2.9,0,2.9,0,2.75,0.25,2.75,0.25,1.25,1.75,0.25,0.25
1.95,5.25,2.25,1.25,1.4,1.5,2.424871,2.598076,2.424871,2.598076,2.165064,2.165064,2.165064,2.165064,4.094203,6.574382,1.105667,2.054872,2.87054,2.491987,4.534314,4.439595,3.059412,2.776689,3.653423,3.368605,1.829617,1.160819,2.271563,164.748118,161.926567,103.06803,96.988035,128.833525,116.194185,165.398254,157.417061,132.794137,130.133865,144.47423,138.206621,111.277886,100.024988,1.25,6.5,1.25,0,1.25,1.25,2.65,2.75,2.65,2.75,0,0,0,0,4.2,2.25,0,2.25,2.25,2.25,3.65,3.75,0.85,0.75,3.5,3.5,1,1,1.5,1.5,1.5,1.5,2.9,0,2.9,0,2.9,0,2.75,0.25,2.75,0.25,1.25,2.25,0.25,0.25
1.45,5.25,2.75,1.25,1.4,1.5,2.511474,2.511474,2.424871,2.598076,2.165064,2.165064,2.165064,2.165064,4.094203,6.74333,1.105667,2.544111,3.238827,2.908608,5.002749,4.765239,3.195309,2.908608,4.104571,3.853245,2.085066,1.532155,2.722132,164.748118,157.947739,103.06803,95.639337,123.762855,112.221475,162.195322,154.506289,124.064732,121.070507,142.629844,136.610352,100.368805,86.759724,1.25,6.5,1.25,0,1.25,1.25,2.7,2.7,2.65,2.75,0,0,0,0,4.2,2.75,0,2.75,2.75,2.75,4.2,4.2,1.35,1.25,4,4,1.5,1.5,1.5,1.5,1.5,1.5,2.9,0,2.95,0.05,2.9,0,2.75,0.25,2.75,0.25,1.25,2.75,0.25,0.25
0.95,5.25,3.25,1.25,1.4,1.05,1.645448,1.645448,2.424871,2.598076,1.645448,1.645448,2.165064,2.165064,4.094203,6.944242,1.105667,3.036857,3.638681,3.22839,4.607331,4.439313,3.4,3.116087,4.174626,3.988421,2.41816,1.961505,3.187475,164.748118,154.161513,103.06803,94.722044,119.648964,101.615257,155.299746,147.01868,116.199827,112.897832,136.5583,130.103243,92.052395,78.970094,1.25,6.5,1.25,0,1.25,1.25,2.2,2.2,2.65,2.75,0.3,0.3,0,0,4.2,3.25,0,3.25,3.25,3.25,4.2,4.2,1.85,1.75,4.2,4.2,2,2,1.5,1.5,1.5,1.5,2.9,0.45,2.45,0.55,2.9,0,2.45,0.55,2.75,0.25,1.25,3.25,0.25,0.25
0.45,5.25,3.75,1.25,1.4,1.5,0.779423,0.779423,2.424871,2.598076,0.779423,0.779423,2.165064,2.165064,4.094203,7.174434,1.105667,3.531643,4.060788,3.802631,4.292726,4.208028,3.661967,3.385262,4.077683,3.988421,2.801339,2.41816,3.661967,164.748118,150.592423,103.06803,94.059282,116.312305,106.814462,147.202876,138.395973,109.334865,105.835541,126.995209,119.960994,85.863417,74.063647,1.25,6.5,1.25,0,1.25,1.25,1.7,1.7,2.65,2.75,0.8,0.8,0,0,4.2,3.75,0,3.75,3.75,3.75,4.2,4.2,2.35,2.25,4.2,4.2,2.5,2.5,1.5,1.5,1.5,1.5,2.9,0,1.95,1.05,2.9,0,1.95,1.05,2.75,0.25,1.25,3.75,0.25,0.25
3.95,4.75,0.25,1.75,1.4,1.5,2.424871,1.299038,0.433013,0.433013,2.424871,1.299038,0.433013,0.433013,4.244114,6.262787,1.572419,0.471699,2.343075,1.860108,3.689173,2.397394,1.883481,1.774119,2.282542,1.116915,1.430909,1.28355,1.552417,158.544326,176.338064,99.148321,122.005383,140.194429,126.253838,162.676959,143.780632,144.322655,127.016429,141.639308,100.423365,81.881565,58.850119,1.75,6.5,1.75,0,1.75,1.75,3.15,2.5,2,2,0.35,1,1.5,1.5,4.2,0.25,0,0.25,0.25,0.25,1.65,1,0,0,1.65,1,0,0,1.5,1.5,1.5,1.5,2.9,0,2.9,0.75,1.75,1.25,2.9,0.75,1.75,1.25,1.75,0.25,0.25,0.25
