fps,cv_ms,api_ms
43.73075319042456,21.73614501953125,0
0.32551668730295985,19.95706558227539,0
0.3260803212739005,21.08907699584961,0
0.3256396386981849,22.477149963378906,0
0.32617802663531936,22.942304611206055,0
0.3251543130678838,23.996353149414062,0
0.32662576431041246,18.164634704589844,0
0.326310033212904,23.10037612915039,0
0.3261653442011982,20.27273178100586,0
0.32535167664590303,21.94499969482422,0
0.3253573047039657,21.302461624145508,0
0.3269899235309109,23.156404495239258,0
